f,attack,aggregator,seed,accuracy,macro_f1,retained
0.1,ipm,krum,1,0.8356,0.8359,99.23
0.1,ipm,krum,2,0.8497,0.8489,100.48
0.1,ipm,krum,3,0.8525,0.8522,100.7
0.1,ipm,krum,4,0.8388,0.8392,99.91
0.1,ipm,median,0,0.8612,0.8616,99.21
0.1,ipm,median,1,0.8302,0.831,98.85
0.1,ipm,median,2,0.8356,0.8351,98.86
0.1,ipm,median,3,0.8525,0.8527,98.84
0.1,ipm,median,4,0.8425,0.8424,98.7
0.1,ipm,trimmed_mean,0,0.8688,0.8688,99.26
0.1,ipm,trimmed_mean,1,0.8499,0.8503,99.42
0.1,ipm,trimmed_mean,2,0.8443,0.8439,98.55
0.1,ipm,trimmed_mean,3,0.8597,0.8601,98.64
0.1,ipm,trimmed_mean,4,0.8534,0.8531,99.25
0.1,ipm,fltrust,0,0.7951,0.7898,93.8
0.1,ipm,fltrust,1,0.8016,0.7989,99.52
0.1,ipm,fltrust,2,0.789,0.7881,99.81
0.1,ipm,fltrust,3,0.8062,0.801,98.44
0.1,ipm,fltrust,4,0.7901,0.7851,96.87
0.1,ipm,reputation,0,0.8615,0.8618,99.38
0.1,ipm,reputation,1,0.8375,0.8379,99.36
0.1,ipm,reputation,2,0.8401,0.8396,99.41
0.1,ipm,reputation,3,0.8563,0.8568,99.7
0.1,ipm,reputation,4,0.8475,0.8473,100.02
0.2,ipm,fedavg,0,0.8697,0.8692,98.28
0.2,ipm,fedavg,1,0.8539,0.8539,98.34
0.2,ipm,fedavg,2,0.8545,0.8532,98.05
0.2,ipm,fedavg,3,0.8663,0.8664,98.24
0.2,ipm,fedavg,4,0.8549,0.854,98.61
0.2,ipm,krum,0,0.8217,0.8234,95.85
0.2,ipm,krum,1,0.8019,0.8037,95.23
0.2,ipm,krum,2,0.8386,0.8379,99.17
0.2,ipm,krum,3,0.8419,0.8398,99.45
0.2,ipm,krum,4,0.7914,0.7906,94.27
0.2,ipm,median,0,0.8419,0.8419,96.99
0.2,ipm,median,1,0.8225,0.8231,97.93
0.2,ipm,median,2,0.8277,0.8262,97.92
0.2,ipm,median,3,0.843,0.843,97.75
0.2,ipm,median,4,0.806,0.8057,94.43
0.2,ipm,trimmed_mean,0,0.8578,0.8577,98.01
0.2,ipm,trimmed_mean,1,0.8295,0.8298,97.03
0.2,ipm,trimmed_mean,2,0.8358,0.8346,97.56
0.2,ipm,trimmed_mean,3,0.8493,0.8496,97.45
0.2,ipm,trimmed_mean,4,0.8476,0.8469,98.58
0.2,ipm,fltrust,0,0.791,0.7855,93.32
0.2,ipm,fltrust,1,0.7934,0.7902,98.51
0.2,ipm,fltrust,2,0.7917,0.7904,100.16
0.2,ipm,fltrust,3,0.806,0.8011,98.42
0.2,ipm,fltrust,4,0.7893,0.7853,96.78
0.2,ipm,reputation,0,0.8536,0.8538,98.46
0.2,ipm,reputation,1,0.8341,0.8346,98.97
0.2,ipm,reputation,2,0.8365,0.8352,98.99
0.2,ipm,reputation,3,0.8482,0.8489,98.75
0.2,ipm,reputation,4,0.8291,0.8289,97.86
0.3,ipm,fedavg,0,0.8619,0.8613,97.41
0.3,ipm,fedavg,1,0.8449,0.8449,97.29
0.3,ipm,fedavg,2,0.8454,0.844,97.01
0.3,ipm,fedavg,3,0.8539,0.854,96.83
0.3,ipm,fedavg,4,0.8432,0.8423,97.27
0.3,ipm,krum,0,0.7734,0.7768,90.22
0.3,ipm,krum,1,0.7203,0.7188,85.54
0.3,ipm,krum,2,0.7394,0.7406,87.43
0.3,ipm,krum,3,0.7586,0.7669,89.61
0.3,ipm,krum,4,0.7384,0.7369,87.96
0.3,ipm,median,0,0.8141,0.814,93.79
0.3,ipm,median,1,0.8112,0.8115,96.58
0.3,ipm,median,2,0.8032,0.8017,95.03
0.3,ipm,median,3,0.8214,0.8215,95.24
0.3,ipm,median,4,0.7625,0.762,89.33
0.3,ipm,trimmed_mean,0,0.8434,0.8438,96.36
0.3,ipm,trimmed_mean,1,0.8153,0.8161,95.37
0.3,ipm,trimmed_mean,2,0.8171,0.8157,95.38
0.3,ipm,trimmed_mean,3,0.8323,0.8323,95.5
0.3,ipm,trimmed_mean,4,0.8262,0.8253,96.08
0.3,ipm,fltrust,0,0.7901,0.7836,93.21
0.3,ipm,fltrust,1,0.7969,0.7933,98.94
0.3,ipm,fltrust,2,0.7901,0.789,99.95
0.3,ipm,fltrust,3,0.808,0.8038,98.67
0.3,ipm,fltrust,4,0.781,0.7756,95.76
0.3,ipm,reputation,0,0.8328,0.834,96.07
0.3,ipm,reputation,1,0.8204,0.8211,97.34
0.3,ipm,reputation,2,0.8199,0.8185,97.02
0.3,ipm,reputation,3,0.8306,0.8309,96.7
0.3,ipm,reputation,4,0.7999,0.7991,94.41
